GEOID,pop_total,pop_white,pop_poc,STATEFP,county,pop_aian,pop_black,pop_asian,pop_pacific,pop_other,pop_2
300010003002,787,784,3,30,001,1,1,1,0,0,0
300030001001,916,736,180,30,003,79,0,13,0,0,88
300030001004,498,492,6,30,003,0,0,4,0,0,2
300039405002,792,275,517,30,003,506,0,0,0,0,11
300039407001,1246,328,918,30,003,873,0,0,0,0,45
300050002001,855,848,7,30,005,6,0,0,0,0,1
300059402001,630,63,567,30,005,542,12,0,0,13,0
300070001001,1187,1154,33,30,007,28,5,0,0,0,0
300070002002,1434,1404,30,30,007,0,0,0,0,9,21
300090001002,663,640,23,30,009,9,0,0,0,0,14
300090002002,1060,1005,55,30,009,15,0,0,0,4,36
300090003003,855,772,83,30,009,0,0,23,0,60,0
300130002003,1052,1013,39,30,013,30,0,2,0,0,7
300090004003,440,422,18,30,009,0,8,0,0,9,1
300110003001,753,704,49,30,011,17,0,0,0,0,32
300130001002,919,868,51,30,013,21,0,0,0,0,30
300130003003,703,596,107,30,013,28,0,0,0,0,79
300130010004,772,728,44,30,013,13,15,0,0,0,16
300130011003,856,851,5,30,013,5,0,0,0,0,0
300130012012,1448,1174,274,30,013,13,75,25,0,43,118
300130016001,1206,977,229,30,013,109,0,0,0,10,110
300130016003,650,479,171,30,013,68,0,53,0,0,50
300130017001,453,439,14,30,013,6,0,0,0,0,8
300130018001,944,869,75,30,013,3,0,0,0,0,72
300130018004,1787,1424,363,30,013,163,0,114,0,0,86
300130019003,2514,2402,112,30,013,48,0,0,0,12,52
300130021003,1785,1461,324,30,013,121,42,120,0,29,12
300130022012,1870,1773,97,30,013,82,0,0,0,0,15
300130022022,1656,1441,215,30,013,109,20,0,2,0,84
300130023012,1665,1645,20,30,013,0,0,0,0,0,20
300130101001,1717,1620,97,30,013,41,15,0,0,0,41
300130104001,780,677,103,30,013,7,3,14,0,5,74
300130106001,1093,1057,36,30,013,0,0,0,0,0,36
300130106004,1007,996,11,30,013,7,0,0,0,0,4
300179615001,627,598,29,30,017,29,0,0,0,0,0
300179616002,899,793,106,30,017,32,0,0,16,14,44
300179618002,596,562,34,30,017,3,0,0,0,0,31
300179620001,398,385,13,30,017,0,8,0,0,0,5
300179620003,797,797,0,30,017,0,0,0,0,0,0
300210001001,883,844,39,30,021,12,0,0,0,0,27
300210002002,850,724,126,30,021,51,0,0,0,0,75
300210003002,439,435,4,30,021,0,0,0,0,0,4
300210003005,926,889,37,30,021,0,37,0,0,0,0
300230003002,560,523,37,30,023,37,0,0,0,0,0
300230004002,776,720,56,30,023,0,0,23,0,0,33
300230005001,872,703,169,30,023,48,0,0,15,8,98
300230005004,635,635,0,30,023,0,0,0,0,0,0
300250001003,774,682,92,30,025,32,1,30,0,3,26
300270301003,1174,1140,34,30,027,31,0,0,0,0,3
300270302012,1300,1206,94,30,027,0,71,0,8,0,15
300270302022,1085,1067,18,30,027,1,0,16,0,0,1
300290003011,863,863,0,30,029,0,0,0,0,0,0
300290003021,717,717,0,30,029,0,0,0,0,0,0
300290004022,1665,1645,20,30,029,19,1,0,0,0,0
300290006022,1769,1692,77,30,029,0,0,17,0,0,60
300290004031,1235,1194,41,30,029,0,0,0,0,41,0
300290004042,783,626,157,30,029,45,0,38,0,0,74
300290006012,1783,1663,120,30,029,85,0,35,0,0,0
300290007002,1134,1033,101,30,029,0,0,0,0,0,101
300290007005,2028,2028,0,30,029,0,0,0,0,0,0
300290008021,2223,2178,45,30,029,0,0,30,0,0,15
300290008024,1073,1025,48,30,029,13,0,0,0,0,35
