,Data Year,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Utility name,Plant FIPS state code,Plant FIPS county code,Latitude,Longitude,Plant primary coal/oil/gas/ other fossil fuel category,Plant capacity factor,Plant nameplate capacity (MW),Plant annual coal net generation (MWh),total population (ACS2018),Total Households,Buffer distance,State percentile for EJ Index for Particulate Matter (PxM 2.5),Regional percentile for EJ Index for Particulate Matter (PM 2.5),National percentile for EJ Index for Particulate Matter (PM 2.5),Raw data for People of Color Population,State percentile for People of Color Population,Regional percentile for People of Color Population,National percentile for People of Color Population,State average for People of Color Population,Regional average for People of Color Population,National average for People of Color Population,Raw data for Low Income Population,State percentile for Low Income Population,Regional percentile for Low Income Population,National percentile for Low Income Population,State average for Low Income Population,Regional average for Low Income Population,National average for Low Income Population,Raw data for Linguistically Isolated Population,State percentile for Linguistically Isolated Population,Regional percentile for Linguistically Isolated Population,National percentile for Linguistically Isolated Population,State average for Linguistically Isolated Population,Regional average for Linguistically Isolated Population,National average for Linguistically Isolated Population,Raw data for Population with Less Than High School Education,State percentile for Population with Less Than High School Education,Regional percentile for Population with Less Than High School Education,National percentile for Population with Less Than High School Education,State average for Population with Less Than High School Education,Regional average for Population with Less Than High School Education,National average for Population with Less Than High School Education,PM 2.5 Emssions (tons)
1,2019,AL,James H Miller Jr,6002,Alabama Power Co,1,73.0,33.6319,-87.0597,COAL,0.74799,2822.0,18237661.0,1253,479,3 miles,30.0,27.0,27.0,0.02,5.0,4.0,5.0,0.34,0.39,0.39,0.35,46.0,50.0,60.0,0.38,0.36,0.33,0.0,71.0,51.0,45.0,0.01,0.03,0.04,0.2,73.0,78.0,79.0,0.14,0.13,0.13,135.9824196902363
3,2019,MI,Monroe,1733,DTE Electric Company,26,115.0,41.8906,-83.3464,COAL,0.53113,3293.1,14624850.0,8532,3221,3 miles,65.0,67.0,52.0,0.17,57.0,54.0,33.0,0.25,0.25,0.39,0.42,70.0,74.0,71.0,0.33,0.3,0.33,0.0,63.0,59.0,45.0,0.02,0.02,0.04,0.14,79.0,77.0,67.0,0.09,0.1,0.13,27.46133689028686
6,2019,FL,Crystal River,628,"Duke Energy Florida, LLC",12,17.0,28.9656,-82.6977,COAL,0.32381,5303.7,4298914.9,2,1,3 miles,12.0,16.0,14.0,0.03,2.0,6.0,7.0,0.46,0.39,0.39,0.08,4.0,5.0,10.0,0.35,0.36,0.33,0.0,29.0,51.0,45.0,0.07,0.03,0.04,0.05,26.0,23.0,29.0,0.12,0.13,0.13,654.9560751315132
9,2019,TX,W A Parish,3470,NRG Texas Power LLC,48,157.0,29.4828,-95.6311,COAL,0.40805,4008.4,13143813.0,1098,369,3 miles,14.0,14.0,18.0,0.55,47.0,55.0,70.0,0.58,0.52,0.39,0.07,8.0,6.0,8.0,0.35,0.37,0.33,0.05,54.0,63.0,71.0,0.08,0.06,0.04,0.06,27.0,26.0,34.0,0.17,0.16,0.13,1180.940322020279
11,2019,MO,Labadie,2103,Union Electric Co - (MO),29,71.0,38.562244,-90.837686,COAL,0.67464,2389.4,14110255.0,1161,461,3 miles,32.0,28.0,21.0,0.04,20.0,19.0,9.0,0.2,0.2,0.39,0.25,38.0,42.0,42.0,0.33,0.31,0.33,0.0,72.0,66.0,45.0,0.01,0.02,0.04,0.06,38.0,46.0,37.0,0.1,0.09,0.13,1404.7365664434135
12,2019,OH,Gen J M Gavin,8102,"Gavin Power, LLC",39,53.0,38.9347,-82.1158,COAL,0.61003,2600.0,13867855.0,2169,810,3 miles,47.0,40.0,30.0,0.02,13.0,8.0,4.0,0.21,0.25,0.39,0.41,69.0,72.0,69.0,0.32,0.3,0.33,0.0,68.0,59.0,45.0,0.01,0.02,0.04,0.15,78.0,78.0,68.0,0.1,0.1,0.13,2126.1979189823896
13,2019,MT,Colstrip,6076,Talen Montana LLC,30,87.0,45.8831,-106.614,COAL,0.64761,2363.4,13394759.0,2458,793,3 miles,61.0,54.0,42.0,0.32,91.0,73.0,51.0,0.14,0.25,0.39,0.12,6.0,19.0,17.0,0.34,0.28,0.33,0.0,83.0,55.0,45.0,0.0,0.02,0.04,0.02,18.0,22.0,12.0,0.07,0.08,0.13,3983.44368108869
19,2019,WV,Harrison Power Station,3944,Monongahela Power Co,54,33.0,39.384167,-80.3325,COAL,0.71732,2052.0,12881313.0,6087,2530,3 miles,42.0,46.0,36.0,0.03,44.0,13.0,7.0,0.08,0.33,0.39,0.35,43.0,70.0,61.0,0.39,0.27,0.33,0.0,88.0,55.0,45.0,0.0,0.03,0.04,0.14,56.0,72.0,65.0,0.13,0.1,0.13,1334.0188332991488
21,2019,AL,Barry,3,Alabama Power Co,1,97.0,31.0069,-88.0103,COAL,0.50101,2841.5,4174904.2,98,41,3 miles,60.0,56.0,60.0,0.37,63.0,55.0,55.0,0.34,0.39,0.39,0.38,52.0,55.0,64.0,0.38,0.36,0.33,0.0,71.0,51.0,45.0,0.01,0.03,0.04,0.19,71.0,76.0,78.0,0.14,0.13,0.13,643.1556715373634
28,2019,TX,Oak Grove,6180,Luminant Generation Company LLC,48,395.0,31.1803,-96.4866,COAL,0.41695,3397.0,12314849.86,132,49,3 miles,28.0,30.0,44.0,0.15,7.0,11.0,29.0,0.58,0.52,0.39,0.26,40.0,36.0,45.0,0.35,0.37,0.33,0.0,26.0,36.0,45.0,0.08,0.06,0.04,0.13,50.0,51.0,63.0,0.17,0.16,0.13,743.9137585197036
30,2019,IN,Gibson,6113,"Duke Energy Indiana, LLC",18,51.0,38.372222,-87.765833,COAL,0.41649,3339.5,12141089.0,3984,1692,3 miles,65.0,62.0,47.0,0.08,38.0,33.0,17.0,0.21,0.25,0.39,0.41,69.0,72.0,69.0,0.33,0.3,0.33,0.03,80.0,75.0,61.0,0.02,0.02,0.04,0.11,59.0,67.0,57.0,0.11,0.1,0.13,1755.34531350947
38,2019,TX,Martin Lake,6146,Luminant Generation Company LLC,48,401.0,32.2606,-94.5706,COAL,0.43622,3179.6,12141396.0,545,191,3 miles,39.0,44.0,60.0,0.41,33.0,42.0,60.0,0.58,0.52,0.39,0.29,45.0,41.0,51.0,0.35,0.37,0.33,0.0,26.0,36.0,45.0,0.08,0.06,0.04,0.24,72.0,76.0,85.0,0.17,0.16,0.13,901.6547279972831
39,2019,GA,Scherer,6257,Georgia Power Co,13,207.0,33.0606,-83.8075,COAL,0.38702,3564.0,12073571.0,792,310,3 miles,40.0,47.0,51.0,0.21,24.0,36.0,38.0,0.47,0.39,0.39,0.44,65.0,65.0,72.0,0.36,0.36,0.33,0.03,73.0,71.0,63.0,0.03,0.03,0.04,0.16,66.0,67.0,71.0,0.13,0.13,0.13,80.18137874938948
40,2019,IL,Prairie State Generating Station,55856,Prairie State Generating Co LLC,17,163.0,38.279167,-89.666944,COAL,0.77912,1766.0,12027671.0,311,124,3 miles,36.0,42.0,31.0,0.02,6.0,10.0,5.0,0.38,0.25,0.39,0.14,26.0,23.0,21.0,0.29,0.3,0.33,0.0,44.0,59.0,45.0,0.05,0.02,0.04,0.02,17.0,16.0,13.0,0.11,0.1,0.13,1318.907430543218
53,2019,WY,Jim Bridger,8066,PacifiCorp,56,37.0,41.7378,-108.7875,COAL,0.52615,2441.9,11245848.0,1,1,3 miles,74.0,67.0,51.0,0.12,46.0,33.0,25.0,0.16,0.25,0.39,0.3,63.0,61.0,52.0,0.28,0.28,0.33,0.0,71.0,55.0,45.0,0.01,0.02,0.04,0.07,57.0,59.0,41.0,0.07,0.08,0.13,354.76338226571204
